"ITV type","Compartment","Metric","LRT P","Composition retained","Richness effect P"
"Multidimensional (2-D) ITV","Aboveground","TPD FRic (all traits)","<0.001","Yes","0.271"
"Multidimensional (2-D) ITV","Belowground","TPD FRic (all traits)","0.142","No","0.163"
"PCA-axis (1-D) ITV","Aboveground","Above_PC1","<0.001","Yes","0.074"
"PCA-axis (1-D) ITV","Aboveground","Above_PC2","0.012","Yes","0.930"
"PCA-axis (1-D) ITV","Belowground","Below_PC1","0.098","No","0.221"
"PCA-axis (1-D) ITV","Belowground","Below_PC2","0.037","Yes","0.933"
"Single-trait ITV","Aboveground","LTO","0.034","Yes","0.229"
"Single-trait ITV","Aboveground","MLA","0.749","No","<0.001"
"Single-trait ITV","Aboveground","SLA","0.176","No","0.006"
"Single-trait ITV","Aboveground","LDMC","0.289","No","0.465"
"Single-trait ITV","Aboveground","SSD","1.000","No","0.286"
"Single-trait ITV","Aboveground","Chl","0.014","Yes","0.324"
"Single-trait ITV","Aboveground","Height","1.000","No","0.510"
"Single-trait ITV","Belowground","SRL","0.087","No","0.118"
"Single-trait ITV","Belowground","RD","0.941","No","0.028"
"Single-trait ITV","Belowground","RTD","0.020","Yes","0.459"
"Single-trait ITV","Belowground","SRA","<0.001","Yes","0.500"
"Species-level mean trait value","Aboveground","LTO","0.606","No","<0.001"
"Species-level mean trait value","Aboveground","MLA","0.003","Yes","0.028"
"Species-level mean trait value","Aboveground","SLA","<0.001","Yes","0.010"
"Species-level mean trait value","Aboveground","LDMC","0.032","Yes","0.059"
"Species-level mean trait value","Aboveground","SSD","<0.001","Yes","0.004"
"Species-level mean trait value","Aboveground","Chl","0.001","Yes","0.392"
"Species-level mean trait value","Aboveground","Height","0.080","No","0.252"
"Species-level mean trait value","Aboveground","Above_PC1","<0.001","Yes","0.002"
"Species-level mean trait value","Aboveground","Above_PC2","0.006","Yes","0.297"
"Species-level mean trait value","Belowground","SRL","0.230","No","0.017"
"Species-level mean trait value","Belowground","RD","0.103","No","<0.001"
"Species-level mean trait value","Belowground","RTD","<0.001","Yes","0.924"
"Species-level mean trait value","Belowground","SRA","<0.001","Yes","0.387"
"Species-level mean trait value","Belowground","Below_PC1","<0.001","Yes","0.700"
"Species-level mean trait value","Belowground","Below_PC2","0.300","No","<0.001"
