"Type","Compartment","Metric","LRT P","Composition retained","Richness effect P"
"Multidimensional (2-D) ITV","Aboveground","TPD FRic (all traits)","<0.001","Yes","0.271"
"Multidimensional (2-D) ITV","Belowground","TPD FRic (all traits)","0.143","No","0.163"
"PCA-axis (1-D) ITV","Aboveground","Above_PC1","<0.001","Yes","0.074"
"PCA-axis (1-D) ITV","Aboveground","Above_PC2","0.013","Yes","0.921"
"PCA-axis (1-D) ITV","Belowground","Below_PC1","0.103","No","0.213"
"PCA-axis (1-D) ITV","Belowground","Below_PC2","0.036","Yes","0.936"
"Single-trait ITV","Aboveground","LTO","0.035","Yes","0.234"
"Single-trait ITV","Aboveground","MLA","0.738","No","<0.001"
"Single-trait ITV","Aboveground","SLA","0.168","No","0.005"
"Single-trait ITV","Aboveground","LDMC","0.265","No","0.481"
"Single-trait ITV","Aboveground","SSD","1.000","No","0.295"
"Single-trait ITV","Aboveground","Chl","0.014","Yes","0.323"
"Single-trait ITV","Aboveground","Height","1.000","No","0.507"
"Single-trait ITV","Belowground","SRL","0.073","No","0.113"
"Single-trait ITV","Belowground","RD","0.932","No","0.028"
"Single-trait ITV","Belowground","RTD","0.016","Yes","0.458"
"Single-trait ITV","Belowground","SRA","<0.001","Yes","0.499"
