"Panel","sp","N","r_squared","p_value"
"MLA","CG",7,0.117532472502164,0.451584162885612
"MLA","CM",8,0.337826918352326,0.130764199378729
"MLA","CS",3,0.135086578056345,0.760399331840188
"MLA","DO",4,0.909091842911739,0.0465369210547588
"MLA","ED",9,0.135651099930469,0.329412665410987
"MLA","HA",8,0.00408298828121022,0.880516473332066
"MLA","LH",9,0.0796420660447142,0.461889597657368
"MLA","QC",13,0.45915068193406,0.0109321623093703
"MLA","QS",5,0.626870775569119,0.110446470884503
"MLA","SS",6,0.087733490953194,0.56869566279604
"SLA","CG",7,0.122362023911367,0.441811296101332
"SLA","CM",8,0.245787595405435,0.211518036069257
"SLA","CS",3,0.0764466244766664,0.821657579781476
"SLA","DO",4,0.735532379905176,0.142368155963658
"SLA","ED",9,0.272102043482015,0.149775032447208
"SLA","HA",8,0.000260656465958946,0.969733649649292
"SLA","LH",9,0.0152707822967869,0.751436707158353
"SLA","QC",13,0.196281637071798,0.129467023746806
"SLA","QS",5,0.618031423726946,0.114829131034265
"SLA","SS",6,0.00927517896400868,0.855985039890773
"LDMC","CG",7,0.0313799426339218,0.703967396599027
"LDMC","CM",8,0.0424512759390226,0.624474418648185
"LDMC","CS",3,0.0152216958921944,0.921255609084517
"LDMC","DO",4,0.405602086023372,0.363131029156411
"LDMC","ED",9,0.588664321469458,0.0158159042824333
"LDMC","HA",8,3.45736133194133e-06,0.996513636579269
"LDMC","LH",9,0.0921364144181006,0.427165425426587
"LDMC","QC",13,0.00908504101263028,0.756756727187003
"LDMC","QS",5,0.247092006261952,0.394221238379802
"LDMC","SS",6,0.0493031438636767,0.672409042827078
"LTO","CG",7,0.267024041957642,0.235018833430811
"LTO","CM",8,0.426210454420186,0.0792508648285867
"LTO","CS",3,0.0425355404296853,0.867753525796869
"LTO","DO",4,0.427377959710231,0.346258491672564
"LTO","ED",9,0.157831459867237,0.289700007364923
"LTO","HA",8,0.28229218944765,0.175394530734257
"LTO","LH",9,0.0757299226406029,0.473570753749878
"LTO","QC",13,0.268224606019747,0.0698435278491819
"LTO","QS",5,0.0522683941106194,0.711464461472279
"LTO","SS",6,0.137625893133835,0.469058742454702
"Chl","CG",7,0.14076543606164,0.406928704129788
"Chl","CM",8,0.0110055746672059,0.804736960507221
"Chl","CS",3,0.844454218545614,0.258090198890124
"Chl","DO",4,0.706480307340946,0.159476170866676
"Chl","ED",9,0.000153778134880649,0.974740674929973
"Chl","HA",8,0.121980840764621,0.396446725736482
"Chl","LH",9,0.147603070020741,0.307321454951269
"Chl","QC",13,0.0406082306500901,0.509133318261263
"Chl","QS",5,0.0380777272843746,0.753132098745944
"Chl","SS",6,0.0486152017778103,0.674626719003934
"Height","CG",7,0.00117878114165204,0.941748187135965
"Height","CM",8,0.0131338045956688,0.786993777313451
"Height","CS",3,0.846323905899253,0.256444037135457
"Height","DO",4,0.0563559022480182,0.762606018930517
"Height","ED",9,0.563311169611453,0.0198030244037045
"Height","HA",8,0.605865729183635,0.0228915878813468
"Height","LH",9,0.323930295751098,0.109722744006851
"Height","QC",13,0.166044386547286,0.166957038142529
"Height","QS",5,0.229209830267881,0.414586915338389
"Height","SS",6,0.0784196221074391,0.590927564972272
"SSD","CG",7,0.254725405007944,0.248008324765076
"SSD","CM",8,0.622452616415024,0.019936769116117
"SSD","CS",3,0.157151681431543,0.740502324259615
"SSD","DO",4,0.266392597800321,0.48386765476254
"SSD","ED",9,0.0214518371300042,0.706907609235838
