"Trait","p.value","estimate","error","sig","Compartment"
"LTO",5.05875007607119e-06,-0.111930671478038,0.0226867091828437,"p < 0.05","Aboveground"
"MLA",0.0169167638678184,0.249845186792424,0.099323831278514,"p < 0.05","Aboveground"
"SLA",0.00642248885870608,0.286000796035018,0.0964538863409332,"p < 0.05","Aboveground"
"LDMC",0.0364296420061133,-0.111843688710128,0.0521328392995255,"p < 0.05","Aboveground"
"SSD",0.00164199755151479,-0.328097836268802,0.0931188519405584,"p < 0.05","Aboveground"
"Chl",0.364875557812279,0.101515452916232,0.114176189286825,"ns","Aboveground"
"Height",0.246178845237054,0.0378773553176556,0.0327670085477037,"ns","Aboveground"
"Above_PC1",0.000868275531645346,0.322881553809052,0.0841934952415079,"p < 0.05","Aboveground"
"Above_PC2",0.270941999055677,-0.0571846308055255,0.0524724105668301,"ns","Aboveground"
"SRL",0.0153816398241568,-0.134349889194732,0.0548648012605309,"p < 0.05","Belowground"
"RD",0.000199599398499455,0.201330459271001,0.0518081201545647,"p < 0.05","Belowground"
"RTD",0.905275131127158,-0.0132935484128691,0.135727565223336,"ns","Belowground"
"SRA",0.351748963316463,-0.116748783938869,0.12970504987049,"ns","Belowground"
"Below_PC1",0.685710178453449,-0.0552662878625058,0.140207771847825,"ns","Belowground"
"Below_PC2",0.000321584595890533,-0.197160808426798,0.0526557262616241,"p < 0.05","Belowground"
